Title,Blurb,url
Federal Funding Dollars per State,Click through menu for state specific funding numbers,https://public.tableau.com/views/FederalFundingperState/FederalFunding?:language=en&:display_count=y&:origin=viz_share_link
Ridership vs. Auto Sales by Volume,Ridership numbers by category compared with total volume car sales year over year,https://public.tableau.com/views/SalesvsRidership/SalesvsRidership?:language=en&:display_count=y&:origin=viz_share_link
Total Funding vs. Ridership,"Total Ridership (Bus,Rail) year over year compared with total federal funding",https://public.tableau.com/views/TotalvsRidership/TotalvsRidership?:language=en&:display_count=y&:origin=viz_share_link
Rail Funding vs. Ridership,Rail ridership year over year compared with rail funding programs,https://public.tableau.com/views/RailvsRidership/RailvsRidership?:language=en&:display_count=y&:origin=viz_share_link
Bus Funding vs. Ridership,Bus ridership year over year compared with bus funding programs,https://public.tableau.com/views/BusvsRidership/BusvsRidership?:language=en&:display_count=y&:origin=viz_share_link
Category Split Funding,Summary of how federal funding programs change over time,https://public.tableau.com/views/CategorySplitFunding/FundingCategory?:language=en&:display_count=y&:origin=viz_share_link
Total Federal Funding,Year over year federal commitment to public transportation,https://public.tableau.com/views/TotalFederalFunding/Total?:language=en&:display_count=y&:origin=viz_share_link
State of Good Repair Funding,State of Good Repair funding is focused on fixed rail projects,https://public.tableau.com/views/StateofGoodRepairFunding/StateofGoodRepair?:language=en&:display_count=y&:origin=viz_share_link
Bus/Bus Facilities Funding,Federal funding for financing bus and bus facilities capital projects,https://public.tableau.com/views/BusBusFacilitiesFunding/Bus?:language=en&:display_count=y&:origin=viz_share_link
