,state,tweets
10,Iowa,"['btw', 'iowa', 'dot', 'working', 'integrated', 'corridor', 'management', 'plan', 'dsm', 'metro', 'online', 'public', 'meeting', 'documents', 'transitbikingwalking', 'given', 'brief', 'attention']"
11,Kansas,"['bright', 'news', 'kcs', 'public', 'transit', 'wrapped', 'honor', 'negro', 'leagues', 'kansas', 'citys', 'greatest', 'citizen', 'time', 'buck', 'oneil', 'find', 'visiting', 'kc', 'must', 'must', 'must', 'visit', 'negro', 'leagues', 'baseball', 'museum', 'httpstcomqovtlnxcj', 'kansas', 'city', 'already', 'working', 'problem', 'hopefully', 'bidenharris', 'plan', 'help', 'succeed', 'experience', 'help', 'plan', 'succeed', 'pretty', 'great', 'public', 'transit', 'kansas', 'city', 'even', 'free', 'light', 'rail', 'line', 'nyc', 'public', 'transit', 'mess', 'big', 'part', 'came', 'home', 'colorado', 'never', 'public', 'transit', 'system', 'come', 'together', 'honor', 'negro', 'leagues', 'privileged', 'right', 'kansas', 'city', 'wrappedwithheart', 'thats', 'good', 'question', 'kansas', 'city', 'worth', 'monitoring', 'hate', 'crime', 'victims', 'kansas', 'bar', 'oregon', 'public', 'transit', 'el', 'paso', 'httpstcocfielvtkbh', 'charlottesville', 'tree', 'life']"
12,Kentucky,"['think', 'public', 'officials', 'take', 'mass', 'transit', 'buses', 'trains', 'available', 'dc', 'nearly', 'everywhere', 'amtrak', 'goes', 'kentucky', 'dc', 'mitch', 'mcconnell', 'take']"
13,Maryland,"['heres', 'latest', 'making', 'case', 'governance', 'reforms', 'baltimore', 'public', 'transit', 'httpstcovwuubylgid', 'gaithersburg', 'amendment', 'could', 'limit', 'public', 'housing', 'amp', 'call', 'local', 'control', 'mta', 'public', 'transit', 'baltimore', 'oped', 'yesterdays', 'transit', 'needs', 'improve', 'city', 'thrive', 'marc', 'train', 'face', 'covering', 'reduce', 'spread', 'protect', 'customers', 'team', 'members', 'riders', 'using', 'public', 'transit', 'including', 'marc', 'train', 'mta', 'local', 'bus', 'light', 'rail', 'metro', 'subway', 'commuter', 'bus', 'mobilit', 'state', '’', 'richest', 'county', 'gets', 'billions', '’', 'want', 'city', 'greatest', 'concentration', 'poverty', 'maryland', 'far', 'gets', 'passed', 'md', 'invest', 'public', 'transit', 'like', 'red', 'line', 'polluting', 'highway', 'expansion', 'thanks', 'state', 'delegate', 'jared', 'solomon', 'sharing', 'thoughts', 'state', 'maryland', 'transportation', 'issues', 'committee', 'montgomery', 'hes', 'helped', 'us', 'understand', 'critical', 'issues', 'public', 'private', 'partnerships', 'pedestrian', 'safety', 'marc', 'public', 'transit', 'state', 'funding', 'marc', 'train', 'face', 'covering', 'reduce', 'spread', 'protect', 'customers', 'team', 'members', 'riders', 'using', 'public', 'transit', 'including', 'marc', 'train', 'mta', 'local', 'bus', 'light', 'rail', 'metro', 'subway', 'commuter', 'bus', 'mobilit', 'marc', 'train', 'face', 'covering', 'reduce', 'spread', 'protect', 'customers', 'team', 'members', 'riders', 'using', 'public', 'transit', 'including', 'marc', 'train', 'mta', 'local', 'bus', 'light', 'rail', 'metro', 'subway', 'commuter', 'bus', 'mobilit', 'phone', 'survey', 'maryland', 'dot', 'got', 'tell', 'want', 'see', 'better', 'public', 'transit', 'want', 'limit', 'road', 'expansion', 'leads', 'induced', 'demand', 'avoid', 'public', 'private', 'partnerships', 'cost', '😎', 'reminder', 'metro', 'subwaylink', 'service', 'requirement', 'mdot', 'mta', 'riders', 'reduce', 'spread', 'protect', 'customers', 'team', 'members', 'riders', 'using', 'public', 'transit', 'including', 'marc', 'train', 'mt', 'reminder', 'local', 'citylink', 'service', 'advisory', 'requirement', 'mdot', 'mta', 'riders', 'reduce', 'spread', 'protect', 'customers', 'team', 'members', 'riders', 'using', 'public', 'transit', 'including', 'marc', 'train', 'reminder', 'light', 'raillink', 'service', 'advisory', 'requirement', 'mdot', 'mta', 'riders', 'reduce', 'spread', 'protect', 'customers', 'team', 'members', 'riders', 'using', 'public', 'transit', 'including', 'marc', 'train', 'mta', 'marc', 'train', 'face', 'covering', 'reduce', 'spread', 'protect', 'customers', 'team', 'members', 'riders', 'using', 'public', 'transit', 'including', 'marc', 'train', 'mta', 'local', 'bus', 'light', 'rail', 'metro', 'subway', 'commuter', 'bus', 'mobilit', '“', 'mess', 'literally', 'figuratively', '”', 'needed', 'proof', 'publicprivate', 'partnerships', 'magic', 'solution', 'building', 'large', 'public', 'works', 'projects', 'suburban', 'dc', 'transit', 'project', 'called', 'purple', 'line', 'httpstcohuxticcrec', 'ppps', 'publicworks', 'rtc', 'seeks', 'input', 'community', 'neighborhood', 'development', 'options', 'along', 'proposed', 'maryland', 'parkway', 'bus', 'rapid', 'transit', 'brt', 'route', 'clark', 'county', 'city', 'las', 'vegas', 'rtc', 'seek', 'public', 'input', 'development', 'options', 'along', 'maryland', 'parkway', 'corridor', '—', 'retail', 'housing', 'entertainment', 'development', 'proposed', 'along', 'bus', 'rapid', 'transit', 'brt', 'route', '–n', 'assistant', 'marc', 'train', 'face', 'covering', 'reduce', 'spread', 'protect', 'customers', 'team', 'members', 'riders', 'using', 'public', 'transit', 'including', 'marc', 'train', 'mta', 'local', 'bus', 'light', 'rail', 'metro', 'subway', 'commuter', 'bus', 'mobilit', 'marc', 'train', 'face', 'covering', 'reduce', 'spread', 'protect', 'customers', 'team', 'members', 'riders', 'using', 'public', 'transit', 'including', 'marc', 'train', 'mta', 'local', 'bus', 'light', 'rail', 'metro', 'subway', 'commuter', 'bus', 'mobilit', 'marc', 'train', 'face', 'covering', 'reduce', 'spread', 'protect', 'customers', 'team', 'members', 'riders', 'using', 'public', 'transit', 'including', 'marc', 'train', 'mta', 'local', 'bus', 'light', 'rail', 'metro', 'subway', 'commuter', 'bus', 'mobilit']"
14,Massachusetts,"['charlie', 'baker', 'mad', 'house', 'sticking', 'roeact', 'budget', 'baker', 'seems', 'content', 'let', 'public', 'transit', 'fail', 'massachusetts', 'look', 'forward', 'seeing', 'senate', 'amendment', 'sticks', 'partnering', 'amp', 'provide', 'charliecards', 'reusable', 'plastic', 'fare', 'cards', 'boston', 'neighborhoods', 'make', 'using', 'public', 'transit', 'easier', 'transportation', 'bus', 'subway', 'public', 'transit', 'vital', 'boston', 'beyond', 'proposed', 'cuts', 'harm', 'essential', 'workers', 'public', 'health', 'climate', 'local', 'economy', 'ever', 'must', 'support', 'residents', 'take', 'steps', 'build', 'back', 'economy', 'used', 'think', 'massachusetts', 'progressive', 'whose', 'leaders', 'even', 'middle', 'crisis', 'would', 'let', 'people', 'like', 'foolish', 'fund', 'public', 'transit', 'cowards', 'mbta', 'mapoli', 'arizona', 'voted', 'increase', 'taxes', 'wealthy', 'fund', 'public', 'schools', 'massachusetts', 'faces', 'cuts', 'public', 'transit', 'mapoli', 'specific', 'massachusetts', 'hiking', 'question', 'friend', 'lives', 'near', 'amherst', '’', 'looking', 'meet', 'somewhere', 'middle', 'day', 'hike', 'possibly', 'near', 'worcester', '’', 'car', 'anything', 'good', 'get', 'boston', 'public', 'transit', 'massachusetts', 'serious', 'tackling', 'climate', 'change', 'cutting', 'service', 'last', 'thing', 'meet', 'climate', 'goals', 'public', 'transit', 'needs', 'investment', 'less', 'mapoli', 'massachusetts', 'provides', 'really', 'stark', 'example', 'democratic', 'supermajority', 'houses', 'legislature', 'gets', 'public', 'much', 'massachusetts', 'public', 'transit', 'service', 'faces', 'oncoming', 'cuts', 'fiscal', 'management', 'amp', 'control', 'board', 'struggles', 'lack', 'investment', 'public', 'transit', 'public', 'good', 'coalition', 'calling', 'state', 'legislature', 'step', 'amp', 'save', 'reminder', 'massachusetts', 'house', 'literally', 'voting', 'amendments', 'budget', 'today', 'still', 'session', 'think', 'mbta', 'service', 'cuts', 'harmful', 'people', 'life', 'tell', 'state', 'rep', 'raise', 'taxes', 'fund', 'public', 'transit', 'cuts', 'public', 'transit', 'impose', 'even', 'greater', 'equity', 'gap', 'residents', 'across', 'state', 'make', 'transportation', 'equitable', 'must', 'provide', 'choice', 'less', 'massachusetts', 'afford', 'proposed', 'cuts', 'learn', 'transitisessentialma', 'httpstcoxumwefxbth', 'glad', 'live', 'massachusetts', 'progressive', 'things', 'like', 'cutting', 'public', 'transit', 'massachusetts', 'budget', 'expand', 'public', 'transit', 'one', 'wants', 'make', 'necessary', 'changes', 'otherwise', 'bloated', 'budgets', 'order', 'fund', 'massachusetts', 'doesnt', 'bad', 'drivers', 'engaged', 'multidecade', 'psyop', 'scare', 'americans', 'investing', 'robust', 'public', 'transit', 'cmon', 'voters', 'place', 'less', 'value', 'talkingtweeting', 'talk', 'walking', 'riding', 'biking', 'talk👏🏾if', 'former', 'massachusetts', 'gov', 'michael', 'dukakis', 'able', 'take', 'public', 'transit', 'work', 'office', 'reason', 'boston', 'mayor', 'cant', 'bospoli', 'mapoli', 'okay', 'cutting', 'public', 'transit', 'good', 'recipe', 'stimulating', 'economy', 'unacceptable', 'billion', 'progressive', 'revenue', 'functioning', 'wellfunded', 'public', 'transit', 'guaranteed', 'housing', 'stability', 'evictionsforeclosures', 'things', 'desperately', 'need', 'massachusetts', 'house', 'debates', 'budget', 'tmrw', 'mapoli', 'taxtherich', 'housingguaranteema', 'httpstcoldtydplmzk', 'accessible', 'public', 'transit', 'essential', 'equitable', 'boston', '—', 'massachusetts', 'ferry', 'rider', 'stinks', 'cambridge', '’', 'state', 'rep', 'proposed', 'exactly', 'this—taxing', 'wealth', 'top', 'stop', 'covidlinked', 'austerity', 'imposed', 'massachusetts', 'residents', 'depend', 'public', 'transit', 'httpstcopbkblkqcrs', 'unreliable', 'public', 'transit', 'forcing', 'people', 'single', 'occupancy', 'vehicles', 'massachusetts', 'scenes', 'like', 'taste', 'future🚗', '🚗', '🚙', '🚗', '🚙', 'plan', 'bad', 'economy', 'bad', 'planet', 'bad', 'equity', 'bad', 'public', 'health', 'generally', 'bad', 'people', 'bad', 'massachusetts', 'need', 'invest', 'transit', 'cut', 'mapoli', 'colossal', 'prove', 'catastrophic', 'let', 'public', 'transit', 'fail', 'degree', 'dangerous', 'letting', 'public', 'education', 'fail', 'massachusetts', 'afford', 'afford', 'complete', 'transit', 'service', 'going', 'spend', 'time', 'opposing', 'gov', 'plan', 'defund', 'massachusetts', 'public', 'transit', 'evict', 'people', 'cant', 'pay', 'rent', 'pandemic', 'feed', 'bay', 'staters', 'food', 'insecure', 'im', 'going', 'support', 'candidate', 'would', 'bospoli', 'mapoli']"
15,Michigan,"['inspiring', 'blow', 'learned', 'helplessness', 'coronavirus', 'via', 'httpstcofkfhgqrwtf', 'maybe', 'could', 'follow', 'actual', 'science', 'shut', 'public', 'transit', 'smart', 'bus', 'proposing', 'new', 'route', 'changes', 'go', 'effect', 'april', 'changes', 'routes', 'southshore', 'downriver', 'michigan', 'local', 'middlebelt', 'grand', 'riverbeech', 'daly', 'amp', 'new', 'route', 'groesbeck', 'meeting', 'today', 'dingell', 'transit', 'center', 'amp', 'zoom', 'wednesday', 'httpstcohxdpcrcbbe', 'gov', 'whitmer', 'set', 'announce', 'restrictions', 'pm', 'colleges', 'high', 'schools', 'restaurants', 'theaters', 'stadiums', 'etc', 'pro', 'sports', 'retail', 'salonsbarbers', 'public', 'transit', 'still', 'open', 'plans', 'rush', 'together', 'michigan', 'state', 'fairgrounds', 'development', 'im', 'hoping', 'gets', 'involved', 'traumatic', 'stress', 'many', 'detroit', 'transit', 'riders', 'suffer', 'need', 'health', 'safety', 'street', 'minimum', 'grounds', 'serving', 'public', 'see', 'many', 'problems', 'caused', 'cars', 'could', 'solved', 'form', 'public', 'transit', 'yet', 'imagine', 'instead', 'cars', 'competing', 'parking', 'spots', 'took', 'train', 'used', 'small', 'transit', 'buses', 'uber', 'get', 'around', 'concept', '’', 'see', 'raise', 'one', 'tax', 'churches', 'fix', 'roads', 'fund', 'public', 'transit', 'michigan']"
16,Minnesota,"['need', 'buy', 'bike', 'light', 'everpresent', 'minnesota', 'winter', 'darkness', 'cant', 'take', 'public', 'transit', 'need', 'make', 'eye', 'appointment', 'kid', 'eyelid', 'might', 'covering', 'pupil', 'need', 'plan', 'dinner']"
17,Montana,"['must', 'dense', 'growth', 'public', 'transit', 'dakotas', 'wyoming', 'montana', 'thats', 'spiking', 'covid', 'cases']"
18,Nebraska,"['’', 'public', 'transit', 'situation', 'lincoln', 'nebraska']"
19,Nevada,"['please', 'make', 'mandatory', 'wear', 'mask', 'city', 'buses', 'many', 'people', 'still', 'wearing', 'masks', 'wearing', 'improperly', 'tulsa', 'tulsa', 'transit', 'began', 'enforcing', 'mask', 'mandate', 'nevada', 'public', 'transportation', 'privilege', 'right']"
