,state,tweets
20,New Jersey,"['bus', 'company', 'defrauded', 'new', 'jersey', '’', 'public', 'transit', 'corporation', 'million', 'underreporting', 'trips', 'buses', 'missed', 'billing', 'trips', 'never', 'took', 'according', 'civil', 'complaint', 'announced', 'monday', 'bus', 'company', 'defrauded', 'new', 'jersey', '’', 'public', 'transit', 'corporation', 'million', 'underreporting', 'trips', 'buses', 'missed', 'billing', 'trips', 'never', 'took', 'according', 'civil', 'complaint', 'announced', 'monday', 'new', 'episode', 'featuring', 'special', 'guest', 'gordon', 'nj', 'transit', 'board', 'member', 'nj', 'bpu', 'commissioner', 'amp', 'former', 'nj', 'senator', 'amp', 'assemblymen', 'part', 'ii', 'dives', 'lifelong', 'public', 'service', 'new', 'jersey', 'nj', 'legislature', 'nj', 'transit', 'amp', 'httpstconuchoqjvys', 'newark', 'nj', 'miles', 'minutes', 'away', 'manhattan', 'public', 'transit', 'positivity', 'next', 'big', 'nyc', 'metrotristate', 'mass', 'die', 'upon', 'us', 'httpstcoegqzjfunas', 'extr', 'extreme', 'networks', 'nnounced', 'nj', 'transit', 'state', 'new', 'jerseys', 'public', 'transportation', 'system', 'deployed', 'everyone', 'scrambled', 'get', 'taken', 'public', 'transit', 'nyc', 'jersey', 'transit', 'central', 'jersey', 'new', 'venue', 'reliant', 'hitching', 'rides', 'players', 'make']"
21,New York,"['im', 'old', 'remember', 'people', 'claimed', 'reason', 'new', 'york', 'bad', 'public', 'transit', 'car', 'culture', 'saving', 'rest', 'america', 'covid', 'causing', 'crisis', 'confidence', 'mass', 'public', 'transport', 'systems', 'around', 'globe', 'leads', 'fiscal', 'crisis', 'state', 'amp', 'potential', 'environment', 'disaster', 'unless', 'well', 'managed', 'new', 'york', 'crisis', 'mass', 'transit', 'systems', 'via', 'new', 'york', 'crisis', 'mass', 'transit', 'systems', 'public', 'transport', 'revenue', 'leading', 'cities', 'hit', 'hard', '—', 'passengers', 'may', 'never', 'return', 'httpstcodvzrstqvsw', 'via', 'collapse', 'revenue', 'public', 'transit', 'agencies', 'combined', 'future', 'work', 'post', 'covid', 'seeming', 'point', 'towards', 'less', 'travel', 'opens', 'serious', 'questions', 'mass', 'transit', 'revenue', 'model', 'topoli', 'new', 'york', 'crisis', 'mass', 'transit', 'systems', 'new', 'york', '’', 'crisis', 'mass', 'transit', 'tells', 'us', '“', 'preserve', 'priority', 'public', 'transport', 'want', 'avoid', 'complete', 'gridlock', 'cities', 'make', 'sure', 'people', 'go', 'back', 'cars', '”', 'mezghani', 'international', 'association', 'public', 'transport', 'httpstcoxfwdfvhyph', 'overmyer', 'public', 'transit', 'rail', 'system', 'buffalo', 'new', 'york', 'united', 'states', 'operated', 'niagara', 'frontier', 'transportation', 'authority', 'nfta', 'widened', 'knows', 'thats', 'needed', 'vast', 'majority', 'us', 'want', 'make', 'public', 'transit', 'works', 'like', 'new', 'york', 'london', 'know', 'takes', 'actually', 'need', 'go', 'quicker', 'takes', 'drive', 'bad', 'traffic', 'day', 'people', 'forget', 'nyc', 'unique', 'shuffle', 'students', 'staff', 'around', 'boros', 'crowded', 'public', 'transit', 'threshold', 'action', 'aggressive', 'together', 'partners', 'building', 'modern', 'efficient', 'public', 'transit', 'system', '–', 'making', 'new', 'york', 'resilient', 'process', 'new', 'york', '’', 'created', 'framework', 'collaboration', 'innovation', 'transit', 'tech', 'lab', 'publicprivate', 'initiative', 'launched', 'partnership', 'new', 'york', 'city', 'metropolitan', 'transportation', 'authority', 'moved', 'billion', 'people', 'per', 'year', 'via', 'bus', 'rachel', 'haot', 'executive', 'director', 'transit', 'innovation', 'partnership', 'new', 'york', 'city', 'public', 'private', 'sectors', 'work', 'together', 'covid', 'era', 'innovation', 'optional', 'together', 'partners', 'building', 'modern', 'efficient', 'public', 'transit', 'system', '–', 'making', 'new', 'york', 'resilient', 'process', 'mta', 'definitely', 'high', 'stress', 'flimsy', 'ass', 'swipes', 'impossible', 'screens', 'never', 'thought', '’', 'grateful', 'ventura', 'card', 'taking', 'public', 'transit', 'new', 'york', 'celebrated', 'convinced', 'protesting', '“', 'defund', 'police', '”', 'lived', 'middle', 'largest', 'cities', '’', 'lived', 'gentrified', 'areas', 'dc', 'amp', 'new', 'york', 'city', 'amp', 'la', 'take', 'public', 'transit', 'amp', 'truly', 'live', 'city', 'life', 'see', 'crazy', 'crazy', 'city', 'seven', 'hills', 'colleges', 'shuttle', 'buses', 'schools', 'students', 'excludes', 'public', 'transportation', 'dont', 'wonder', 'people', 'boston', 'new', 'york', 'city', 'ask', 'isnt', 'public', 'transit', 'transportation', 'sector', 'alone', 'accounts', 'third', 'new', 'yorks', 'greenhouse', 'gas', 'emissions', 'main', 'cause', 'climate', 'change', 'big', 'part', 'solution', 'investment', 'public', 'transportation', 'zero', 'emissions', 'vehicles', '’', 'detroit', 'motorcity', 'drive', 'lot', 'families', 'one', 'cars', 'get', 'around', 'unlike', 'new', 'york', 'major', 'cities', 'effective', 'public', 'transit', 'system', 'get', 'around', 'u', 'car', 'person', 'household', 'access', 'pandemic', 'andrew', 'cuomo', 'nothing', 'less', 'convenient', 'excuse', 'criticize', 'ban', 'things', 'doesnt', 'like', 'new', 'york', 'city', 'population', 'density', 'public', 'transit', 'drinking', 'literally', 'staying', 'late', 'hes', 'running', 'ohh', 'get', 'mean', '’', 'trying', 'use', 'first', 'article', 'support', 'argument', '’', 'people', 'harassed', 'people', 'public', 'transit', '’', 'already', 'illegal', 'basically', 'everywhere', 'except', 'let', '’', 'real', 'new', 'york', 'city', 'difference', 'new', 'york', 'one', 'using', 'public', 'transit', 'takeup', 'indoor', 'dining', 'city', 'limited', 'first', 'place', '’', 'gon', 'na', 'hire', 'fauci', 'biden', 'going', 'go', 'lab', 'create', 'vaccine', 'single', 'handidly', 'gon', 'na', 'go', 'new', 'york', 'tell', 'cuomo', 'shut', 'public', 'transit', 'gets', 'bad', 'joke', 'listen', 'scientists', 'cmon', 'man', 'hand', 'new', 'york', 'extensive', 'public', 'transit', 'network', 'could', 'improved', 'even', 'revenue', 'charging', 'parking', 'joe', 'biden', 'victory', 'mean', 'public', 'transportation', 'northeast', 'min', 'car', 'unreachable', 'public', 'transit', 'unless', 'go', 'new', 'york', 'city', 'via', 'path', 'commute', '😪', 'friends', 'lived', 'boston', 'new', 'york', 'city', 'managed', 'carless', 'life', 'since', 'public', 'transit', 'decent', 'uberlyft', 'used', 'supplement', 'times', 'public', 'transit', 'doesnt', 'work', 'us', 'cities', 'difficult', 'may', 'remind', 'everyone', 'new', 'stimulus', 'package', 'must', 'fund', 'struggling', 'governments', 'avoid', 'states', 'cities', 'forced', 'cut', 'social', 'services', 'time', '’', 'desperately', 'needed', 'public', 'transit', 'systems', 'like', 'new', 'york', '’', 'mta', 'need', 'billions', 'punish', 'ppl', 'taking', 'one', 'worst', 'public', 'trans', 'bail', 'one', 'worst', 'public', 'trans', 'ny', 'done']"
22,North Carolina,"['transit', 'public', 'bust', 'fast', 'door', 'step', 'opportunity', 'click', 'photooftheday', 'fayettevillenc', 'lensflashzoom', 'lfz', 'fayetteville', 'north', 'carolina']"
23,North Dakota,"['hospital', 'either', 'people', 'commute', 'somehow', 'im', 'guessing', 'north', 'dakota', 'doesnt', 'thriving', 'public', 'transit', 'system', 'makes', 'sense', 'public', 'health', 'reasons', 'alone', 'thered', 'way', 'avoid']"
24,Ohio,"['mean', 'know', 'experience', 'ohio', 'narrow', 'scope', 'white', 'middle', 'class', 'dont', 'think', 'many', 'cities', 'restaurant', 'districts', 'regularly', 'serviced', 'public', 'transit', 'busses', 'point', 'true', 'would', 'relevant', 'high', 'school', 'debate', 'tbh', 'ohio', 'public', 'transit', 'youre', 'funny', 'german', 'reminder', 'tomorrow', '’', 'southwest', 'ohio', 'regional', 'transit', 'authority', 'sorta', 'board', 'meeting', 'seen', 'facebook', 'live', 'starting', 'nov', 'community', 'may', 'submit', 'public', 'comment', 'prior', 'meeting', 'askmetro', 'grew', 'largest', 'city', 'country', 'without', 'rail', 'based', 'public', 'transit', 'infrastructure', 'columbus', 'ohio', 'city', 'finally', 'huge', 'grant', 'federal', 'government', 'develop', 'next', 'gen', 'public', 'transit', 'decided', '“', 'leapfrog', '”', 'rail', 'go', 'straight']"
25,Oklahoma,"['recently', 'released', 'oklahoma', 'public', 'transit', 'policy', 'plan', 'sets', 'forth', 'roadmap', 'accomplish', 'goal', 'continuing', 'major', 'economic', 'impact', 'state', '’', 'growth', 'oklahoma', 'benefit', 'spread', 'public', 'transit', 'even', 'cities', 'etc', 'one', 'reasons', 'things', 'able', 'stay', 'less', 'control', 'despite', 'states', 'idiotic', 'handling', 'situation', 'finally', 'seeing', 'spikes', 'instead', 'plateaus']"
26,Oregon,"['blue', 'portlandmetro', 'oregon', 'wearing', 'masks', 'social', 'distancing', 'hand', 'sanitizer', 'extra', 'masks', 'regularly', 'available', 'encouraged', 'required', 'public', 'transit', 'restaurants', 'space', 'seating', 'properly', 'small', 'businesses', 'movie', 'theaters', 'closing', 'public', 'spending', 'education', 'gdp', 'public', 'transit', 'isnt', 'highway', 'expansion', 'healthcare', 'salem', 'home', 'cleanest', 'public', 'transit', 'fleet', 'oregon', 'told', 'thrilled', 'distinction', 'satisfied', 'still', 'work', 'want', 'clean', 'climateactionor', 'finished', 'listening', 'oregon', 'album', 'exactly', 'quirky', 'weird', 'theres', 'whole', 'track', 'portland', 'public', 'transit', 'system', 'another', 'lack', 'sales', 'tax', 'hate', 'crime', 'victims', 'kansas', 'bar', 'oregon', 'public', 'transit', 'el', 'paso', 'httpstcocfielvtkbh', 'charlottesville', 'tree', 'life', 'albert', 'oregon', 'loves', 'public', 'transit', 'hopes', 'major', 'champ', 'tell', 'poppa', 'joe', 'invest', 'money', 'transportation', 'options', 'save', 'climate', 'keep', 'home', 'gorge', 'pristine', 'place']"
27,Pennsylvania,"['shared', 'ride', 'public', 'transit', 'available', 'every', 'county', 'pennsylvania', 'heres', 'whats', 'happening', 'washington']"
28,Rhode Island,"['learned', 'drive', 'rhode', 'island', 'im', 'originally', 'mom', 'figured', 'didnt', 'need', 'license', 'boston', 'burbs', 'mta', 'perfectly', 'good', 'feet', 'lol', 'moved', 'suburb', 'providence', 'public', 'transit']"
29,South Carolina,"['greenlinks', 'marketing', 'amp', 'public', 'affairs', 'manager', 'participating', 'virtual', 'panel', 'november', 'wts', 'south', 'carolina', 'offers', 'programs', 'aimed', 'advance', 'transportation', 'advance', 'women', 'transportation', 'industry', 'register', 'today', 'learn', 'transit', 'across', 'sc', 'httpstcocixdbfoifa']"
30,South Dakota,"['anyone', 'south', 'dakota', 'punching', 'clock', 'frontline', 'worker', 'imagine', 'stress', 'public', 'transit', 'drivers', 'sioux', 'falls', 'know', 'people', 'dependent', 'service', 'theyre', 'risking', 'daily', 'provide', 'amp', 'many', 'sick', 'city', 'run', 'hifromsd', 'sure', 'south', 'dakota', 'densely', 'populated', 'reliant', 'crowded', 'public', 'transit', 'higher', 'median', 'age', 'really', 'fair', 'comparison', 'oh', 'wait']"
31,Texas,"['resident', 'texas', 'last', 'years', 'agree', 'almost', 'antipathy', 'towards', 'public', 'transit', 'even', 'large', 'cities', 'isnt', 'great', 'houston', 'dallas', 'good', 'systems', 'city', 'evaporate', 'suburbs', 'austin', 'owl', 'service', 'dont', 'know', 'texas', 'big', 'would', 'probably', 'need', 'car', 'especially', 'work', 'public', 'transitwalking', 'wouldnt', 'really', 'option', 'outside', 'big', 'cities', 'know', 'taxes', 'much', 'less', 'cars', 'fuel', 'perhaps', 'food', 'budgets', 'taken', 'needing', 'car', 'another', 'note', 'looks', 'like', 'texas', 'needs', 'work', 'public', 'transit', 'public', 'transit', 'ever', 'texas', 'theyre', 'supposed', 'driving', 'potentially', 'unreliable', 'junk', 'box', 'need', 'car', 'get', 'around', 'nicer', 'car', 'dont', 'need', 'one', 'people', 'major', 'cities', 'texas', 'public', 'transit', 'close', 'nonexistent', 'dont', 'get', 'stay', 'lane', 'approval', 'prop', 'marks', 'milestone', 'austin', 'txs', 'yearslong', 'battle', 'reimagine', 'mass', 'public', 'transit', 'dart', 'transit', 'system', 'plan', 'december', 'virtual', 'public', 'meetings', 'scheduled', 'december', 'share', 'feedback', 'help', 'shape', 'public', 'transit', 'north', 'texas', 'learn', 'httpstcoymzhwsjtvw', 'dart', 'transit', 'system', 'plan', 'december', 'virtual', 'public', 'meetings', 'scheduled', 'december', 'share', 'feedback', 'help', 'shape', 'public', 'transit', 'north', 'texas', 'learn', 'live', 'gave', 'car', 'combat', 'climate', 'change', 'everything', 'need', 'within', 'mile', 'walking', 'distance', 'grocery', 'stores', 'gym', 'restaurants', 'movie', 'theatre', 'shopping', 'banking', 'amp', 'parks', 'public', 'transit', 'within', 'miles', 'live', 'texas', 'i❤️it', 'climateaction', 'build', 'public', 'transit', 'fight', 'climate', 'change', 'fuck', 'uber', 'httpstcokpmvnmmgio', 'via', 'socialists', 'america', 'north', 'texas', 'ubers', 'literal', 'business', 'model', 'compete', 'public', 'transit', 'equalizing', 'efficient', 'public', 'service', 'replace', 'private', 'transit', 'accounts', 'transit', 'adds', 'rancho', 'la', 'gloria', 'texas', 'ranch', 'water', 'blue', 'agave', 'hard', 'seltzer', 'client', 'roster', 'lands', 'tech', 'trio', 'mind', 'machines', 'exolaunch', 'valo', 'picks', 'cox', 'business', '👏🏽👏🏽👏🏽', 'transit', 'great', 'cities', 'accounts', 'transit', 'magrino', 'adds', 'drinks', 'magrino', 'adds', 'rancho', 'la', 'gloria', 'texas', 'ranch', 'water', 'blue', 'agave', 'hard', 'seltzer', 'client', 'roster', 'pugh', 'amp', 'tiller', 'pr', 'lands', 'tech', 'trio', 'mind', 'machines', 'exolaunch', 'content', 'summary', 'visit', 'odwyerp…', 'austin', 'texas—one', 'countrys', 'fastestgrowing', 'cities—just', 'voted', 'billion', 'transit', 'plan', 'transportation', 'options', 'infrastructure', 'reduce', 'greenhouse', 'gas', 'emissions', 'traffic', 'publictransit', 'austin', 'texas', 'votes', '‘', 'yes', '’', 'billion', 'transportation', 'revolution', 'vote', 'win', 'looks', 'like', 'austin', 'voted', 'get', 'ecomakeover', 'austin', 'texas', 'votes', '‘', 'yes', '’', 'billion', 'transportation', 'revolution', 'via', 'goodnews', 'httpstcoddcxxyrkki', '🤩', 'austin', 'texas', 'voters', 'supported', 'billion', 'public', 'transit', 'expansion', 'rail', 'line', 'plan', '🚈🚌', 'supported', 'million', 'active', 'transportation', 'bond', 'meant', 'expand', 'walking', 'biking', 'networks', 'throughout', 'city', '🚴\u200d♂️', 'austin', 'texas', 'votes', '‘', 'yes', '’', 'billion', 'transportation', 'revolution', 'im', 'smaller', 'though', 'rural', 'area', 'either', 'one', 'miles', 'away', 'therefore', 'must', 'car', 'texas', 'general', 'strong', 'public', 'transit', 'infrastructure', 'heavily', 'car', 'reliant', 'austin', 'texas', 'votes', '‘', 'yes', '’', 'billion', 'transportation', 'revolution', 'november', 'policies', 'supporting', 'public', 'transportation', 'passed', 'across', 'country', 'austin', 'texas', 'passed', 'legislation', 'build', 'new', 'light', 'rail', 'sidewalks', 'bikeways', 'virginia', 'colorado', 'approved', 'additional', 'funding', 'sources', 'via']"
32,Utah,"['tomorrow', 'eastern', 'ctaa', 'hosting', 'revolutionizing', 'public', 'transit', 'systems', 'rural', 'communities', 'conversation', 'two', 'transit', 'leaders', 'revolutionizing', 'public', 'transportation', 'summit', 'county', 'utah', 'places', 'public', 'transit', 'essential', 'employees', 'claim', 'care', 'enforcing', 'policies', 'mask', 'ride', 'cover', 'nose', 'mouth', 'utah', 'state', 'emergency', 'people', 'straight', 'dont', 'care', 'winter', 'approaching', 'utah', 'lead', 'poor', 'air', 'quality', 'know', 'take', 'public', 'transit', 'likely', 'meet', 'physical', 'activity', 'recommendations']"
33,Virginia,"['really', 'keep', 'extending', 'private', 'toll', 'lanes', 'join', 'public', 'meeting', 'tomorrow', 'hear', 'updates', 'virginia', '’', 'next', 'proposed', 'northern', 'extension', 'express', 'lanes', 'potential', 'transit', 'alternatives', 'register', 'httpstcogkocgfvxvi', 'virginia', 'elevated', 'public', 'transportation', 'dept', 'status', 'within', 'vdot', 'decades', 'ago', 'lead', 'competitive', 'situation', 'transit', 'could', 'impact', 'lu', 'local', 'govts', 'planned', 'benefits', 'amp', 'successes', 'yes', 'particularly', 'rideshare', 'infrastructure', 'november', 'policies', 'supporting', 'public', 'transportation', 'passed', 'across', 'country', 'austin', 'texas', 'passed', 'legislation', 'build', 'new', 'light', 'rail', 'sidewalks', 'bikeways', 'virginia', 'colorado', 'approved', 'additional', 'funding', 'sources', 'via']"
34,Washington,"['cheap', 'washington', 'dc', 'metro', 'area', 'get', 'low', 'end', 'studio', 'miles', 'public', 'transit', 'bold', 'shift', 'roadfocus', 'head', 'public', 'transit', 'agency', 'oversee', 'panel', 'experts', 'tasked', 'advising', 'direction', 'federal', 'transportation', 'policy', 'agencies', 'including', 'reason', 'hope', 'east', 'washington', 'roadway', 'refinements', 'tonight', 'pm', 'preregistration', 'required', 'receive', 'meeting', 'link', 'registered', 'virtual', 'meeting', 'learn', 'planned', 'first', 'phase', 'bus', 'rapid', 'transit', 'brt', 'amp', 'possible', 'changes', 'east', 'washington', 'httpstcowztdpnidix', 'joe', 'biden', 'calls', '‘', 'denser', 'affordable', 'housing', 'near', 'public', 'transit', '’', 'alt', 'text', 'image', 'maybe', 'thats', 'rendered', 'twitter', 'clients', 'national', 'academies', 'sciences', 'engineering', 'medicine', 'shared', 'mobility', 'transformation', 'public', 'transit', 'washington', 'dc', 'national', 'academies', 'press', 'hope', 'see', 'innovative', 'public', 'transit', 'initiatives', 'significant', 'funding', 'investment', 'federal', 'level', 'national', 'zoning', 'housing', 'beware', 'joe', 'biden', 'calls', '‘', 'denser', 'affordable', 'housing', 'near', 'public', 'transit', '’', 'positive', 'sign', 'public', 'transit', 'support', 'la', 'metro', 'ceo', 'phil', 'washington', 'run', 'bidens', 'transition', 'team', 'transportation', 'fantastic', 'choice', 'phil', 'washington', 'true', 'leader', 'apta', 'top', 'public', 'transit', 'ceo', 'award', 'recognition', 'leadership', 'widely', 'respected', 'national', 'leader', 'metrolosangeles', 'icymi', 'week', 'launched', 'prince', 'george', '’', 'link', 'ondemand', 'transit', 'service', 'works', 'similar', 'rideshare', 'services', 'pilot', 'program', 'fort', 'washington', 'area', 'allow', 'residents', 'access', 'flexible', 'affordable', 'public', 'transportation', 'taken', 'port', 'orchard', 'washington', 'across', 'water', 'bremerton', 'foot', 'ferrys', 'kitsap', 'transit', 'owns', 'operates', 'took', 'photo', 'last', 'summer', 'shared', 'ride', 'public', 'transit', 'available', 'every', 'county', 'pennsylvania', 'heres', 'whats', 'happening', 'washington', 'literally', 'disabled', 'activists', '’', 'accessible', 'public', 'transit', 'washington', 'rented', 'uhaul', 'activists', 'sitting', 'darkness', 'back', 'uhaul']"
35,Wisconsin,"['size', 'grain', 'rice', 'know', 'wont', 'part', 'vaccination', 'program', 'eventually', 'technology', 'become', 'standardized', 'allowing', 'use', 'passport', 'public', 'transit', 'purchasing', 'opportunities', 'etc', 'public', 'hearing', 'eauclaires', 'proposed', 'fee', 'schedule', 'honeybee', 'keeper', 'spoke', 'high', 'license', 'fee', 'compared', 'wisconsin', 'cities', 'also', 'public', 'transit', 'advocate', 'spoke', 'favor', 'reducing', 'city', 'bus', 'fares', 'lowincome', 'individuals']"
36,Wyoming,"['must', 'dense', 'growth', 'public', 'transit', 'dakotas', 'wyoming', 'montana', 'thats', 'spiking', 'covid', 'cases']"
